Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
400,Cameron Payne\payneca01,PG,24,TOT,40,712,0.43,14.3,0.623,0.247,0.175,0.121,0.081,0.377,0.511,0.545,0.59,0.407,0.389,0.298,0.296,0.64,0,0,0.179,0.4,1,0
400,Cameron Payne\payneca01,PG,24,CHI,31,536,0.411,13.6,0.649,0.28,0.173,0.119,0.077,0.351,0.486,0.532,0.552,0.3,0.462,0.271,0.302,0.688,0,0,0.169,0.5,1,0
400,Cameron Payne\payneca01,PG,24,CLE,9,176,0.491,16.3,0.545,0.145,0.182,0.127,0.091,0.455,0.6,0.625,0.7,0.714,0.2,0.36,0.278,0.556,0,0,0.2,0.2,0,0
401,Elfrid Payton\paytoel01,PG,24,NOP,42,1250,0.434,9.5,0.745,0.413,0.296,0.024,0.012,0.255,0.476,0.541,0.377,0.5,0.6,0.314,0.349,0.848,0.019,6,0.057,0.167,1,0
402,Gary Payton II\paytoga02,PG,26,WAS,3,16,0.625,6.6,0.75,0.75,0,0,0,0.25,0.667,0.667,,,,0.5,0.75,1,0.125,1,0.5,1,0,0
403,Theo Pinson\pinsoth01,SG,23,BRK,18,211,0.342,19,0.37,0.178,0.123,0.027,0.041,0.63,0.481,0.769,0.222,0,0.333,0.261,0.308,0.75,0.014,1,0.065,0.333,1,0
404,Mason Plumlee\plumlma01,C,28,DEN,82,1731,0.593,4.6,0.977,0.602,0.283,0.059,0.034,0.023,0.602,0.744,0.36,0.538,0.2,0.2,0.704,1,0.283,117,0.1,0,3,0
405,Miles Plumlee\plumlmi01,C,30,ATL,18,173,0.667,3.4,1,0.708,0.188,0.083,0.021,0,0.667,0.735,0.667,0.25,0,,0.625,,0.417,14,,,0,0
406,Jakob Poeltl\poeltja01,C,23,SAS,77,1273,0.645,2.9,1,0.7,0.248,0.041,0.01,0,0.645,0.709,0.486,0.417,1,,0.706,,0.107,28,,,0,0
407,Quincy Pondexter\pondequ01,SF,30,SAS,53,292,0.5,10.9,0.69,0.431,0.121,0.103,0.034,0.31,0.575,0.68,0.429,0.333,0.5,0.333,0.652,1,0.069,3,0.5,0.333,0,0
408,Otto Porter\porteot01,SF,25,TOT,56,1683,0.465,16.7,0.602,0.152,0.109,0.149,0.191,0.398,0.504,0.663,0.571,0.458,0.374,0.406,0.605,0.875,0.009,6,0.27,0.42,0,0
